"X","Y","SAMELO","OBJECTID","AREA","PERIMETER","PHTW911_","PHTW911_ID","XLO","YLO","SNO","YEAR","LNO","FE","MN","CU","ZN","CD","CR","NI","PB","add","county"
120.2652637,23.04467356,0,35260,62500,1000,27583,15357,173875,2549625,"GR82FG81391",1993,"FG8139",1200.65,70.95,177.32,61.03,0.63,24.11,35.71,14.29,"710台灣台南市永康區烏竹北街18巷38號","台南市"
120.2662913,22.85278585,0,136407,62500,1000,4341,4341,173875,2528375,"GR96FF51321",2007,"FF5132",170.3,59.85,2.22,244.88,0,0.57,0.49,11.98,"821台灣高雄市路竹區新民路24-36號","高雄市"
120.2663274,22.84601298,0,127423,62500,1000,1631,1631,173875,2527625,"GR95FF613A1",2006,"FF613A",520.68,97.49,41.48,368.3,0.24,8.64,11.64,12,"821台灣高雄市路竹區保安路92號","高雄市"
120.2676547,23.05371514,0,35105,62500,1000,27417,15147,174125,2550625,"GR82FG71421",1993,"FG7142",894.51,106.61,5.01,7.08,0.28,1.88,4.71,1536.53,"710台灣台南市永康區和平路77號","台南市"
120.2689559,22.8099014,0,127450,62500,1000,1710,1710,174125,2523625,"GR95FF71451",2006,"FF7145",540.12,82.94,67.91,34.68,0.37,14.43,22.68,0,"820台灣高雄市岡山區本工五路26-46號","高雄市"
120.2700943,23.05372645,0,35106,62500,1000,27418,15165,174375,2550625,"GR82FG71521",1993,"FG7152",766.37,31.38,1.23,2.24,0.25,0.16,0.62,218.49,"710台灣台南市永康區中正北路839號","台南市"
120.2704461,22.98825813,0,36100,62500,1000,28463,39594,174375,2543375,"GR85FF01571",1996,"FF0157",552.61,0,0,10.94,0.1,16.61,16.27,3.11,"717台灣台南市仁德區太子路31巷52號","台南市"
120.271463,22.7963662,0,127500,62500,1000,1836,1836,174375,2522125,"GR95FF816A1",2006,"FF816A",170.95,438.64,47.52,213.49,0.47,0.75,1.59,0.66,"820台灣高雄市岡山區致遠路82號","高雄市"
120.271499,22.78959302,0,134897,62500,1000,708,708,174375,2521375,"GR95FF81671",2006,"FF8167",366.73,152.27,31.67,391.3,0.18,0.69,1.28,6.2,"820台灣高雄市岡山區巨輪路","高雄市"
120.271547,22.78056209,0,127498,62500,1000,1830,1830,174375,2520375,"GR95FF81631",2006,"FF8163",734.26,100.9,6.5,17.75,7.35,4.22,1.83,10.28,"820台灣高雄市岡山區介壽西路167-1號","高雄市"
